architecture,source_dataset,target_dataset,matched_five_label_source_diagonal_auroc,matched_five_label_external_auroc,matched_five_label_gap,binary_source_diagonal_auroc,binary_external_auroc,binary_gap,absolute_gap_reduction,gap_direction
transformer,georgia,cpsc2018,0.918349519832927,0.8877926891115301,0.03055683072139692,0.9549248120300752,0.9279353207059836,0.026989491324091563,0.003567339397305358,reduced
transformer,georgia,mimic_iv,0.918349519832927,0.8472509066693137,0.07109861316361332,0.9549248120300752,0.8125380937368643,0.14238671829321092,-0.0712881051295976,increased
transformer,georgia,ptbxl,0.918349519832927,0.9380453491132268,-0.01969582928029978,0.9549248120300752,0.9344626412901744,0.020462170739900754,-0.040158000020200535,increased
transformer,mimic_iv,code_ii,0.952584855251738,0.9043488477509084,0.04823600750082957,0.8860545599314515,0.944595415270133,-0.058540855338681475,0.10677686283951104,reduced
transformer,mimic_iv,cpsc2018,0.952584855251738,0.9363523733325468,0.016232481919191133,0.8860545599314515,0.9620103314679294,-0.07595577153647781,0.09218825345566894,reduced
transformer,mimic_iv,georgia,0.952584855251738,0.9205632447328456,0.03202161051889241,0.8860545599314515,0.9407894736842104,-0.05473491375275885,0.08675652427165126,reduced
transformer,mimic_iv,ptbxl,0.952584855251738,0.9130251819283756,0.03955967332336241,0.8860545599314515,0.9599911493064706,-0.07393658937501901,0.11349626269838142,reduced
transformer,ptbxl,code_ii,0.9677102364495732,0.928879383167022,0.0388308532825512,0.9773817486538164,0.935011223517112,0.04237052513670447,-0.00353967185415327,increased
transformer,ptbxl,cpsc2018,0.9677102364495732,0.8726966599683748,0.09501357648119846,0.9773817486538164,0.9370560697374084,0.040325678916408036,0.05468789756479042,reduced
transformer,ptbxl,georgia,0.9677102364495732,0.9061889526011008,0.06152128384847244,0.9773817486538164,0.9439598997493732,0.03342184890444322,0.028099434944029222,reduced
transformer,ptbxl,mimic_iv,0.9677102364495732,0.8310250816727214,0.13668515477685184,0.9773817486538164,0.8431371657451417,0.1342445829086747,0.0024405718681771438,reduced
